movie_title,release_year,rating,vote_count,revenue,budget,runtime,popularity,genre,next_movie_title
The Dark Knight Rises,2012,8.4,1618502,1081100000,250000000,164,77.3,Crime,14
The Avengers,2012,8.0,1362340,1520000000,220000000,143,77.5,Action,16
Inception,2010,8.8,2505811,839467222,160000000,148,83.5,Science Fiction,42
Pulp Fiction,1994,8.9,1975312,213999520,8000000,154,79.3,Crime,28
The Sixth Sense,1999,8.2,1227434,672925760,40000000,107,76.4,Horror,11
Forrest Gump,1994,8.8,1831062,678226993,55000000,142,76.2,Drama,8
The Lion King,1994,8.5,963932,766300000,45000000,88,72.1,Animation,7
Jurassic Park,1993,8.2,1176410,1011100000,63000000,127,75.8,Adventure,9
The Great Gatsby,2013,7.2,610232,353568092,100000000,143,69.8,Romance,30
The Matrix,1999,8.7,1726179,467222728,63000000,136,78.2,Science Fiction,17
Interstellar,2014,8.6,2035594,731000000,165000000,169,85.3,Science Fiction,23
The Revenant,2015,8.0,1235321,532758987,135000000,156,75.4,Adventure,10
The Dark Knight,2008,9.0,2689725,1004558444,185000000,152,82.1,Crime,15
Doctor Strange,2016,7.5,918521,676557461,165000000,115,70.3,Science Fiction,32
The Matrix Reloaded,2003,7.2,813432,742128461,127000000,138,71.3,Science Fiction,21
Dunkirk,2017,7.8,1012345,527058461,150000000,107,72.3,War,29
Inception,2010,8.8,2505811,839467222,160000000,148,83.5,Science Fiction,42
The Silence of the Lambs,1991,8.6,1196634,272742922,19000000,118,75.2,Thriller,20
The Hunger Games,2012,7.2,803961,865011746,78000000,142,71.1,Action,25
The Godfather,1972,9.2,1668689,250000000,6000000,175,84.5,Crime,31
Inception,2010,8.8,2505811,839467222,160000000,148,83.5,Science Fiction,42
Black Panther,2018,7.3,1089234,1346913161,200000000,134,72.1,Action,35
The Shawshank Redemption,1994,9.3,2514682,58300000,25000000,142,85.1,Drama,5
Avatar,2009,7.8,1352084,2923706026,237000000,162,81.2,Science Fiction,18
The Shining,1980,8.4,920084,46031000,5000000,146,68.3,Horror,22
Guardians of the Galaxy,2014,8.0,1245671,773323326,170000000,121,74.2,Action,27
